Depth,PrunedNodes
8103928,141
7705872,202
13191600,186
7714288,22
13212344,31
8106040,31
8422720,63
8097944,127
13202096,53
7786488,127
7687912,31
13196304,37
8101496,31
7688680,31
13194736,15
13195056,45
8058608,31
13422768,142
8005216,127
7693352,15
13195408,69
7845376,63
13193552,99
7745736,255
13194160,139
8357040,255
13193840,90
13193776,76
13185936,203
8103416,127
13194032,45
8057488,126
7706192,59
13193808,123
8145264,127
8101912,62
7859264,63
13181616,78
13205040,70
13180560,61
7843328,63
7695400,63
8058160,63
13189264,15
13180976,217
13179568,209
8416128,31
13179120,192
13179696,339
13179440,239
13190256,266
7712880,27
7488096,97
7712752,84
8059568,63
13196176,78
8415392,63
7711664,56
8051472,25
7683584,31
7712336,58
7944768,186
7697192,15
7711632,107
13197104,141
8415104,62
13186192,15
13194288,124
13180112,225
13193072,293
13420784,63
13180400,106
7953760,126
7711792,53
7691328,127
13189040,173
7703312,31
7711728,55
7710608,102
13190064,93
7951520,111
13194256,219
8103544,63
13194448,108
13193648,46
7714120,31
13185072,7
13193360,46
13207576,127
7711880,31
13172976,425
7695432,63
13180944,111
8356176,126
7994208,63
13179792,277
13179824,206
7710672,58
8045200,63
8413408,63
8050736,46
7862112,125
13192656,156
13422176,63
7710864,112
13194128,53
8054960,63
8421408,127
8053328,63
13419744,31
7705232,7
8058832,31
7686440,31
7704976,15
13192624,125
13215160,15
8050768,38
7704624,31
7692352,63
13173904,252
7744840,127
8360656,127
13198384,170
13423376,127
8058672,63
7705264,15
13186640,157
13188016,124
13421648,190
7704464,31
13204144,61
7845056,63
7944896,31
7704240,60
7703600,31
8165208,126
7689000,112
7703440,31
7995296,31
8044272,126
7703344,62
13188944,46
7702896,123
8417920,31
7694688,63
7684520,241
8056912,63
8144592,62
8056848,63
8055472,63
13189072,109
13211608,122
7703472,15
7696808,63
7703024,62
7702416,63
7702544,31
7702224,61
8059056,125
13184400,31
13213240,63
8058768,31
13186864,219
8357136,63
8058576,188
13191504,156
8058096,190
7948576,116
7702736,31
7949408,236
13205072,227
7703120,63
7682784,15
7702704,126
13208088,127
7702096,63
7946944,31
13173488,31
7842848,63
7709968,13
13419008,125
8418976,127
8099608,63
7702000,127
8046128,142
7701296,63
13184784,285
13176816,211
8048272,63
7711088,7
7999648,62
7696680,63
7711120,13
7943552,123
7711344,13
13188816,62
7843936,31
8051568,22
8052112,44
7859680,117
8100312,62
8050384,192
13178800,173
8051024,83
8058896,31
13215064,31
8415936,190
8050928,30
8050960,37
8050640,74
8050544,53
13178512,245
13420016,63
8419808,63
8050576,46
7785368,63
13190320,267
7686248,92
8360560,63
13419424,63
8050992,106
7947392,126
7709616,26
8050224,129
7693120,249
13198416,155
13419296,63
8051120,30
8101784,127
7745576,63
8051728,15
8051792,15
7861216,62
7697864,15
8101848,63
8051920,30
13174896,254
8052048,15
13213688,190
8100280,31
8050352,15
7705520,15
7843136,127
8050448,52
13213272,157
8050512,142
7951904,31
13196624,219
7709072,26
7841664,255
7698472,15
7708816,44
8050480,157
13186736,378
7684736,62
8051856,15
7782552,127
8051216,15
8101272,62
8052016,15
8050288,45
8051184,15
7997792,94
13213912,31
8052080,30
7948480,220
7683296,127
13190352,266
7744968,127
8051088,15
7692480,63
13198000,30
8101976,94
13198512,22
7781656,63
8059248,31
13173296,442
13197968,94
7946880,124
13197744,38
13173136,264
13197616,140
7685416,55
13197648,109
13198256,94
8000160,31
7947072,31
13195536,91
7944640,184
13197808,78
13188400,30
13196688,257
13204752,140
7831512,63
13196784,266
13196560,70
7953664,63
13205264,124
13197296,109
8419968,63
8359888,190
13196656,250
7843360,189
13197520,99
13188496,76
13196592,141
13196912,109
13195792,283
7687208,63
7705744,15
13197328,108
13195728,15
13196496,228
8418944,63
13195632,15
13195888,46
8059664,31
8099064,63
7823416,127
13194896,172
13194576,31
13195312,62
8100472,63
7952480,59
13195376,31
7708080,15
13193904,15
7707600,93
7687400,63
13189296,45
13420336,63
13188784,62
8361072,63
8101944,15
7954976,126
13173360,187
7696904,15
13188688,173
13174384,376
8102936,31
13173072,93
13173104,216
8047696,3
13173008,311
13173456,249
8045552,31
13173552,343
7955264,63
13173616,92
7684072,61
13419712,31
7706960,30
13420160,31
8003712,255
13180432,44
8044336,15
13188848,62
13173168,174
13188624,132
13188560,141
13174960,329
13173232,203
13216728,15
8045296,31
8000096,15
8358320,63
13173712,194
13173200,451
13173840,282
7683848,63
13173520,571
13173872,169
7710856,127
7705328,106
7684704,31
13189232,7
13189328,15
7858848,63
13173936,204
8099384,127
7684224,63
13173264,250
7708168,63
8099416,127
13423504,127
13173776,202
7955456,31
8162232,63
7705488,115
7705936,205
13198288,30
8045264,63
8099288,63
7947104,7
7698176,31
13203792,171
8099768,31
8045744,31
13173584,306
8045168,158
8162552,63
13206744,251
8044976,63
8047888,3
7707792,63
13178352,40
7992736,63
8044592,7
7688776,28
8044464,15
7696392,127
8045008,31
7688840,120
8044400,31
13203984,161
8059792,31
7697480,43
8060176,63
8060304,63
13215896,31
8058352,127
8004960,254
13189200,62
13186928,249
8100344,31
8058512,15
13202768,177
13215128,63
8059088,62
13203056,123
7831768,31
7684608,63
13202960,203
8098840,63
7713360,63
7943808,165
13213208,63
7686792,53
13178608,107
13186576,182
7713424,63
8156560,127
8058032,31
7824152,127
8057552,63
8356624,31
8058064,63
7780472,254
13419056,127
7687336,63
8058128,63
13181008,46
7693408,63
13420528,127
13178832,246
7713616,63
8057456,126
8421760,63
7695072,31
13184592,62
8056624,127
7686656,31
13212184,31
13177584,232
8057744,63
7705680,15
7705296,15
7686152,59
7781720,63
7842432,127
8003104,15
13184944,342
13184688,46
8101016,126
7687784,31
7863296,30
8356944,127
13185648,228
13184848,61
13185232,15
13185200,140
13215000,63
7711208,127
13184496,379
8055440,63
7685992,93
7686088,55
8418080,63
13185104,157
13184976,15
8416352,127
13215096,94
7845696,31
13184464,46
13185136,156
13184720,108
13185168,62
13198352,31
7686312,122
13184880,141
13197488,188
7685152,63
8413984,63
7688488,15
13178224,61
13196848,283
13196720,250
13196528,251
8048976,63
13184368,77
7685352,115
7784728,63
13185040,62
13184912,92
7950240,126
13184560,62
13180272,99
8104824,63
7698888,63
7994688,31
8046736,38
13180336,59
13197424,94
7695592,15
13197360,219
13197232,219
7685128,57
13181104,97
7693440,62
7953952,164
8105016,31
13196944,188
13197392,314
13197264,188
13219736,63
7995232,31
13197136,218
13424848,124
13173040,123
7695648,63
7685480,111
7859168,127
7699912,194
7952768,7
8105720,31
8104536,78
13204944,93
8104952,31
7841632,127
13210968,63
8104760,94
7953696,63
8104312,31
7699272,122
8104056,63
8104248,63
8419232,63
8059312,63
8103800,7
7712136,31
8103672,15
8103160,63
7688040,7
8103224,31
13182320,157
7684360,59
8102872,31
8059952,63
7683424,31
8101624,62
13421360,314
8421312,190
8101560,62
7844416,127
8101464,31
7779832,127
8100408,152
8046160,63
13182864,63
7948032,94
8046192,78
8100856,31
8101112,63
8100088,252
8100152,94
13203728,146
8099832,63
8099992,63
13203888,69
8099736,126
8360752,31
8099640,123
13195696,31
8143376,253
7684392,125
7781624,189
13205232,141
13205456,103
13205104,130
7995072,15
13211032,125
7698696,69
13204816,235
8098520,63
13205520,154
13205136,179
8106328,63
8105976,31
8105816,63
13192144,189
13421664,31
8105432,63
13204848,217
8046704,63
8104792,127
8165016,63
8104696,63
8104184,63
8103704,63
13190128,188
8107320,63
8104344,63
7824888,127
8165624,63
8046928,37
8103480,127
13197072,30
13197456,157
7699592,152
7698248,288
7779864,63
8102680,31
13190416,15
8102488,63
8101656,63
7730440,63
8101336,63
8416256,31
8102232,63
7693128,13
7950080,63
13187088,329
8101208,62
13176080,219
8100664,63
13426224,31
8100568,63
7695360,93
13190288,203
8099480,126
8099448,189
13181968,7
8099544,127
7947360,175
7699976,122
13214360,31
8047472,21
13191760,181
13423088,31
8354864,127
13191888,139
13192368,219
7699080,258
8100728,63
8100632,63
7856128,22
8100952,31
13204432,108
8356208,127
8101176,63
8100056,63
8100024,127
13191824,60
8428944,127
8002464,63
7840896,127
8099864,31
13182032,45
8099512,63
7745000,127
8098968,190
7831800,31
7954432,93
8098392,127
7687272,63
8098552,127
7698920,271
8098264,127
8098424,63
13186480,126
8357776,254
8098648,63
13420112,127
8097752,127
7946496,15
13192176,126
8047312,7
8097240,63
7949152,63
8098104,127
8420416,127
8097560,63
8097912,127
7687048,444
8161432,249
8361232,63
13182896,62
8361040,63
8360336,63
8419584,158
8360176,127
13186768,559
7686856,30
8359952,127
8359440,31
8419648,31
7694920,31
8359984,63
8359600,63
13204208,38
8358992,63
7998400,126
8358384,190
8358608,63
8358512,31
8359184,63
7730088,255
8358096,127
7941664,125
13213112,31
8357840,63
7955424,31
8358192,127
13419552,31
8152176,63
8357488,31
8357584,63
8358000,63
13178736,41
8357232,125
8360048,63
7992928,190
8356848,63
7996416,63
13186096,125
8356368,63
8357264,127
13190224,328
7781784,15
8414976,127
8356592,127
13186064,94
7943200,125
8355472,127
7845600,31
8048016,7
8355344,63
8355248,63
7942016,125
8355952,127
8354672,250
8058416,63
13186896,15
8057680,127
13200656,123
8355824,63
7949728,220
8355728,127
8354480,127
8416640,31
8355024,252
8354928,255
7948832,94
13178768,83
13178640,186
8005248,127
13179056,208
7698568,7
13178672,213
7693088,31
13180688,123
7697352,24
13177552,324
13177872,333
7696448,253
7860704,56
13177648,229
13177392,237
7697960,7
7844992,126
7780184,158
13178928,10
13178544,88
8166680,127
13177712,238
7712712,190
13179888,194
7843168,127
13178864,297
8005344,255
13213464,63
7689704,55
13177136,161
8047056,15
13177936,290
13177520,276
7696072,30
13177264,252
7844640,63
7782616,63
8003840,7
7994432,63
13180048,311
